19:22:18.115 setup problem!
19:23:24.289 0.22085297 1.0 0.9400206
19:24:07.833 0.22085297 1.0 0.80622154
19:25:03.472 0.202191 1.0 0.6610406
19:25:46.913 0.202191 1.0 0.57095575
19:26:22.965 0.202191 1.0 0.5027421
19:26:33.523 0.202191 1.0 0.45356262
19:26:37.279 0.202191 1.0 0.40721673
19:26:41.485 0.202191 1.0 0.37264073
19:26:42.962 0.202191 1.0 0.35135853
19:26:45.644 0.202191 1.0 0.36581957
19:26:48.508 0.202191 1.0 0.3562756
19:26:49.858 0.202191 1.0 0.3559495
19:26:52.743 0.202191 1.0 0.35396382
19:26:54.286 0.202191 1.0 0.34679252
19:26:57.523 0.202191 1.0 0.34847388
19:26:59.298 0.202191 1.0 0.356437
19:27:01.414 0.202191 1.0 0.35949686
19:27:03.327 0.202191 1.0 0.35376754
19:27:05.425 0.202191 1.0 0.3604789
19:27:07.813 0.202191 1.0 0.36591214
19:27:09.623 0.202191 1.0 0.34777024
19:27:10.764 0.202191 1.0 0.34748745
19:27:13.343 0.202191 1.0 0.34348652
19:27:15.076 0.202191 1.0 0.36132652
19:27:16.464 0.202191 1.0 0.35593405
19:27:18.753 0.202191 1.0 0.3495748
19:27:19.462 0.202191 1.0 0.34872717
19:27:22.027 0.202191 1.0 0.34597915
19:27:23.869 0.202191 1.0 0.3516951
19:27:24.052 0.202191 1.0 0.35403585
19:27:25.947 0.202191 1.0 0.35064542
19:27:27.028 0.202191 1.0 0.35450393
19:27:28.425 0.202191 1.0 0.35007894
19:27:29.167 0.202191 1.0 0.36112455
19:27:31.633 0.202191 1.0 0.35312745
19:27:33.615 0.202191 1.0 0.35621083
19:27:36.834 0.202191 1.0 0.3288993
19:27:37.563 0.202191 1.0 0.35944095
19:27:39.376 0.202191 1.0 0.35441092
19:27:42.064 0.202191 1.0 0.35649452
19:27:43.118 0.202191 1.0 0.36070308
19:27:45.650 0.202191 1.0 0.3599981
19:27:46.292 0.202191 1.0 0.36720762
19:27:47.732 0.202191 1.0 0.34384564
19:27:49.233 0.202191 1.0 0.34939593
19:27:50.304 0.202191 1.0 0.35329357
19:27:52.145 0.202191 1.0 0.35191506
19:27:53.519 0.202191 1.0 0.36114904
19:27:54.705 0.202191 1.0 0.35597157
19:27:55.589 0.202191 1.0 0.36110985
19:27:57.201 setup problem!
19:29:14.115 0.26784638 1.0 0.9416803
19:30:14.505 0.22858465 1.0 0.82382315
19:31:04.608 0.22459152 1.0 0.6624763
19:31:55.458 0.202191 1.0 0.5749869
19:32:51.583 0.202191 1.0 0.5288884
19:33:49.980 0.202191 1.0 0.49416745
19:34:38.966 0.19641593 1.0 0.4722858
19:35:20.263 0.19641593 1.0 0.44913244
19:35:42.718 0.19641593 1.0 0.43355036
19:36:01.270 0.19641593 1.0 0.4105136
19:36:55.151 0.19641593 1.0 0.40414223
19:38:03.562 0.19641593 1.0 0.42287752
19:39:42.257 0.19419745 1.0 0.41493893
19:41:16.944 0.19419745 1.0 0.38218862
19:43:01.057 0.19419745 1.0 0.38828352
19:44:40.085 0.19419745 1.0 0.37568748
19:46:09.779 0.19419745 1.0 0.37201306
19:47:54.516 0.19141884 1.0 0.353122
19:49:26.040 0.19141884 1.0 0.36752084
19:51:04.782 0.19141884 1.0 0.3838623
19:52:36.277 0.19141884 1.0 0.37457767
19:54:40.896 0.19141884 1.0 0.3715761
19:56:20.753 0.19141884 1.0 0.3634045
19:57:59.841 0.1894585 1.00006 0.37718067
19:59:41.192 0.18943849 1.00006 0.36885992
20:01:20.488 0.1891585 1.00006 0.40251863
20:02:59.812 0.1891185 1.00006 0.39423966
20:04:51.909 0.1884385 1.00006 0.33754528
20:06:30.213 0.18807077 1.00006 0.34437382
20:08:13.561 0.1866 1.00006 0.34783712
20:09:54.670 0.18486223 1.00006 0.376594
20:11:33.862 0.18470222 1.00006 0.37782922
20:13:09.883 0.18420222 1.0001 0.38378453
20:14:55.558 0.18420222 1.0001 0.3715126
20:16:41.399 0.18420222 1.0001 0.3761043
20:18:28.812 0.18420222 1.0001 0.36971623
20:20:12.078 0.18420222 1.0001 0.35947052
20:21:47.293 0.18420222 1.0001 0.35643098
20:23:25.923 0.18420222 1.0001 0.37285984
20:25:04.061 0.18420222 1.0001 0.3899063
20:26:44.341 0.18420222 1.0001 0.40175587
20:28:18.072 0.18420222 1.0001 0.39087832
20:29:58.729 0.18420222 1.0001 0.41191682
20:31:28.832 0.18420222 1.0001 0.39967155
20:33:13.153 0.18420222 1.0001 0.38301685
20:34:46.931 0.18420222 1.0001 0.39012694
20:36:17.360 0.18420222 1.0001 0.39258638
20:37:52.705 0.18420222 1.0001 0.4107304
20:39:42.768 0.18420222 1.0001 0.4083048
20:41:14.790 0.18420222 1.0001 0.39157563
