13:14:56.359 setup problem!
13:16:08.912 0.25459698 1.0 0.94319195
13:17:04.303 0.25459698 1.0 0.81891745
13:18:01.831 0.22731301 1.0 0.6698432
13:18:58.772 0.20072782 1.0 0.5813377
13:19:49.590 0.20062782 1.0 0.49786812
13:20:35.458 0.20028408 1.0 0.4352277
13:21:16.520 0.20028408 1.0 0.4342654
13:21:40.165 0.20028408 1.0 0.404579
13:21:53.071 0.20028408 1.0 0.4153817
13:22:10.858 0.20012014 1.0 0.40013745
13:22:40.004 0.20012014 1.0 0.42113385
13:23:28.536 0.1951788 1.0 0.4161637
13:24:23.734 0.1951788 1.0 0.4802073
13:25:29.157 0.1951788 1.0 0.45584366
13:26:28.013 0.1951788 1.0 0.44145423
13:27:24.534 0.1951788 1.0 0.43190026
13:53:07.771 0.1951788 1.0 0.39609596
13:54:11.430 0.19150358 1.0 0.41750202
13:55:15.744 0.19150358 1.0 0.4256592
13:56:21.030 0.19150358 1.0 0.44771257
13:57:32.523 0.19150358 1.0 0.43466905
13:58:40.892 0.19150358 1.0 0.40350136
13:59:44.343 0.19150358 1.0 0.4392898
14:01:01.993 0.19150358 1.0 0.44682354
14:02:17.572 0.19096409 1.0 0.4277913
14:03:27.831 0.19096409 1.0 0.44069046
14:04:36.527 0.18408073 1.0 0.4574513
14:05:53.084 0.18408073 1.0 0.4503537
14:07:06.085 0.18408073 1.0 0.45623854
14:08:32.116 0.18364075 1.0 0.42926195
14:10:14.677 0.18352558 1.0 0.4274058
14:11:57.984 0.18284558 1.0 0.38699868
14:13:46.874 0.18284558 1.0 0.4207846
14:15:50.706 0.18284558 1.0 0.42519537
14:17:35.384 0.1807578 1.0 0.4220664
14:19:33.362 0.1807578 1.0 0.4373732
14:21:24.153 0.1807578 1.0 0.44152686
14:23:12.665 0.1807578 1.0 0.4714905
14:24:59.285 0.1807578 1.0 0.46120673
14:27:03.028 0.1807578 1.0 0.4743519
14:29:03.784 0.1807578 1.0 0.48473704
14:31:02.206 0.1807578 1.0 0.45723823
14:32:46.870 0.1807578 1.0 0.4801302
14:34:50.366 0.1807578 1.0 0.47448605
14:36:48.976 0.1807578 1.0 0.47248635
14:38:40.545 0.1807578 1.0 0.45096087
14:40:33.833 0.1807578 1.0 0.49220732
14:42:32.056 0.1807578 1.0 0.44654894
14:44:33.522 0.1807578 1.0 0.4855137
14:46:17.791 0.1807578 1.0 0.4674397
14:46:25.037 setup problem!
14:47:52.184 0.2723825 1.0 0.94431835
14:48:51.888 0.2595569 1.0 0.82038695
14:49:39.859 0.22058569 1.0 0.6742364
14:50:20.106 0.22058569 1.0 0.5846525
14:50:57.194 0.22058569 1.0 0.5376165
14:51:26.778 0.22043169 1.0 0.49701047
14:51:37.806 0.21956785 1.0 0.43366832
14:51:50.986 0.21437638 1.0 0.40519926
14:52:11.073 0.21437638 1.0 0.38862923
14:52:38.774 0.21437638 1.0 0.39806426
14:52:45.094 0.21437638 1.0 0.38438153
14:52:50.221 0.21437638 1.0 0.36043125
14:52:55.990 0.21437638 1.0 0.3523537
14:53:00.739 0.21437638 1.0 0.346699
14:53:04.170 0.21437638 1.0 0.34799522
14:53:08.112 0.21437638 1.0 0.34196296
14:53:12.427 0.21437638 1.0 0.335797
14:53:16.006 0.21437638 1.0 0.3371557
14:53:18.565 0.21437638 1.0 0.32394236
14:53:23.354 0.21437638 1.0 0.33471537
14:53:28.897 0.21437638 1.0 0.35601085
14:53:31.557 0.21437638 1.0 0.35270014
14:53:34.047 0.21437638 1.0 0.34036475
14:53:36.454 0.21437638 1.0 0.3437215
14:53:40.345 0.21437638 1.0 0.33709186
14:53:41.684 0.21437638 1.0 0.3405296
14:53:46.833 0.21437638 1.0 0.34141135
14:53:47.675 0.21437638 1.0 0.3450365
14:53:51.683 0.21437638 1.0 0.34217036
14:53:53.875 0.21437638 1.0 0.34128132
14:53:55.781 0.21437638 1.0 0.34000367
14:54:00.226 0.21437638 1.0 0.33743724
14:54:02.518 0.21437638 1.0 0.3330937
14:54:05.998 0.21437638 1.0 0.33494353
14:54:08.465 0.21437638 1.0 0.33209878
14:54:12.624 0.21437638 1.0 0.3539062
14:54:15.472 0.21437638 1.0 0.33467314
14:54:16.499 0.21437638 1.0 0.34287623
14:54:20.164 0.21437638 1.0 0.33453396
14:54:25.044 0.20861107 1.0 0.33294454
14:54:27.783 0.20861107 1.0 0.33617142
14:54:31.042 0.202191 1.0 0.35827243
14:54:34.255 0.202191 1.0 0.33344433
14:54:38.194 0.202191 1.0 0.35985172
14:54:40.586 0.202191 1.0 0.36658314
14:54:47.255 0.202191 1.0 0.37485826
14:54:51.250 0.202191 1.0 0.35845906
14:54:54.856 0.202191 1.0 0.3791365
14:54:59.430 0.202191 1.0 0.37857157
14:55:02.924 0.202191 1.0 0.364951
