20:43:21.518 setup problem!
20:44:30.219 0.22471152 1.0 0.94359004
20:45:22.061 0.22445153 1.0 0.82619447
20:46:06.169 0.22397152 1.0 0.6786482
20:46:42.542 0.202191 1.0 0.5871848
20:47:03.272 0.20044713 1.0 0.5159251
20:47:15.046 0.20044713 1.0 0.46581936
20:47:29.026 0.20044713 1.0 0.41444752
20:47:43.564 0.20044713 1.0 0.40163678
20:48:06.769 0.20044713 1.0 0.40687323
20:48:39.119 0.1984676 1.0 0.41181773
20:49:08.270 0.19344209 1.0 0.4058166
20:49:35.356 0.19344209 1.0 0.3880039
20:50:03.261 0.19279724 1.0 0.3954762
20:50:26.088 0.19279724 1.0 0.39672944
20:50:52.256 0.19279724 1.0 0.37829486
20:51:16.383 0.19222765 1.0 0.38125563
20:51:54.481 0.19222765 1.0 0.4012947
20:52:30.769 0.19222765 1.0 0.40007862
20:52:59.638 0.19222765 1.0 0.4204986
20:53:28.850 0.19222765 1.0 0.41632894
20:53:55.172 0.1912156 1.0 0.40361026
20:54:17.700 0.1912156 1.0 0.40228105
20:54:41.368 0.1912156 1.0 0.39878672
20:55:05.907 0.19093707 1.0 0.4146807
20:55:24.511 0.19001919 1.0 0.4136604
20:55:45.784 0.18993919 1.0 0.387642
20:56:05.678 0.18993919 1.0 0.3848644
20:56:24.343 0.18921919 1.0 0.3824462
20:56:43.699 0.18921919 1.0 0.39139017
20:57:04.738 0.18921919 1.0 0.37381935
20:57:21.309 0.18921919 1.0 0.33549482
20:57:41.304 0.18921919 1.0 0.36158797
20:58:01.214 0.18921919 1.0 0.36454967
20:58:18.873 0.18921919 1.0 0.3695243
20:58:36.133 0.18921919 1.0 0.38775316
20:58:55.188 0.18921919 1.0 0.35756403
20:59:13.029 0.18921919 1.0 0.38279256
20:59:31.171 0.18921919 1.0 0.3720385
20:59:48.696 0.18921919 1.0 0.39171037
21:00:06.060 0.18921919 1.0 0.38181403
21:00:24.558 0.18921919 1.0 0.3716461
21:00:42.963 0.18921919 1.0 0.34992394
21:01:00.628 0.18921919 1.0 0.3607193
21:01:18.709 0.18891673 1.0 0.36171022
21:01:36.297 0.18891673 1.0 0.34768915
21:01:54.756 0.18891673 1.0 0.3386519
21:02:13.758 0.18816783 1.0 0.33570698
21:02:30.503 0.18815397 1.0 0.32686645
21:02:50.340 0.18804717 1.0 0.34833193
21:03:07.820 0.18779397 1.0 0.3328403
21:03:12.513 setup problem!
21:04:19.060 0.22483152 1.0 0.9447322
21:05:15.647 0.22483152 1.0 0.8150998
21:06:08.441 0.22475152 1.0 0.65203655
21:07:03.417 0.20939107 1.0 0.56357324
21:07:34.660 0.20939107 1.0 0.519909
21:08:00.509 0.20939107 1.0 0.49896812
21:08:17.129 0.20939107 1.0 0.46875677
21:08:23.377 0.19153194 1.0 0.42840585
21:08:32.720 0.19065194 1.0 0.37570274
21:08:52.062 0.19065194 1.0 0.36857328
21:09:35.457 0.1825404 1.0 0.36360413
21:10:34.861 0.1821804 1.0 0.385458
21:11:34.265 0.1814204 1.0 0.4069109
21:12:36.758 0.1814204 1.0 0.37433103
21:13:33.116 0.1814204 1.0 0.3550975
21:14:35.842 0.1814204 1.0 0.37218565
21:15:34.375 0.18065579 1.0 0.38832724
21:16:41.839 0.18065579 1.0 0.43945652
21:17:48.255 0.18065579 1.0 0.4171575
21:18:48.463 0.18065579 1.0 0.43476292
21:19:42.254 0.18017149 1.0 0.42485914
21:20:48.568 0.18017149 1.0 0.4185371
21:21:48.592 0.18017149 1.0 0.41598246
21:22:42.201 0.17794138 1.0 0.4304537
21:23:39.394 0.17794138 1.0 0.42351016
21:24:38.823 0.17794138 1.0 0.40976545
21:25:37.674 0.17794138 1.0 0.44017333
21:26:27.449 0.17794138 1.0 0.41109714
21:27:21.669 0.17794138 1.0 0.38966933
21:28:12.988 0.17794138 1.0 0.39348274
21:29:03.889 0.17794138 1.0 0.3770244
21:29:53.664 0.17794138 1.0 0.38645276
21:30:47.514 0.17794138 1.0 0.40349972
21:31:34.973 0.17794138 1.0 0.39173198
21:32:26.390 0.17794138 1.0 0.4178062
21:33:17.427 0.17794138 1.0 0.40332004
21:34:07.853 0.17794138 1.0 0.4193313
21:35:00.174 0.17794138 1.0 0.396595
21:35:50.459 0.16896375 1.0 0.41281816
21:36:39.556 0.16896375 1.0 0.4106992
21:37:33.767 0.16896375 1.0 0.39546326
21:38:21.946 0.16896375 1.0 0.4032055
21:39:13.636 0.16896375 1.0 0.40925115
21:40:06.976 0.16896375 1.0 0.4030469
21:41:01.639 0.16896375 1.0 0.38072175
21:41:55.711 0.16896375 1.0 0.36257383
21:42:53.438 0.16896375 1.0 0.39408547
21:43:48.460 0.16896375 1.0 0.4084684
21:44:43.176 0.16896375 1.0 0.41488838
23:22:54.611 0.16896375 1.0 0.40368667
