21:21:36.331 setup problem!
21:22:03.557 0.5405113 2.0283887 1.0379702
21:22:27.540 0.35273173 2.0286388 0.9920404
21:22:49.627 0.20260793 2.0286388 0.90835243
21:23:13.421 0.20260793 2.028795 0.8607542
21:23:35.081 0.16952346 2.0289826 0.7621533
21:23:54.626 0.16952346 2.0289826 0.7182897
21:24:29.134 0.16952346 2.029545 0.6684644
21:25:09.618 0.16952346 2.0297012 0.6362089
21:25:51.152 0.16952346 2.0297325 0.6212669
21:26:31.525 0.16952346 2.0300763 0.60102963
21:27:10.211 0.16952346 2.0300763 0.64369863
21:27:48.705 0.16683489 2.0300763 0.637763
21:28:31.457 0.16683489 2.0300763 0.65818596
21:29:08.984 0.16683489 2.0300763 0.6232058
21:29:52.594 0.16683489 2.0300763 0.6113414
21:30:32.527 0.16683489 2.0300763 0.6548406
21:31:08.547 0.16683489 2.0300763 0.5813758
21:31:47.683 0.16683489 2.0300763 0.60948694
21:32:24.076 0.16683489 2.0300763 0.6122394
21:33:00.301 0.16586909 2.0300763 0.65212667
21:33:37.583 0.09443632 2.0300763 0.6347239
21:34:14.779 0.09431132 2.0300763 0.626509
21:34:53.748 0.09237545 2.0300763 0.5885626
21:35:29.790 0.08131125 2.0300763 0.6150142
21:36:04.955 0.08131125 2.0303264 0.57705975
21:36:41.832 0.08131125 2.030795 0.5446836
21:37:16.802 0.07837809 2.030795 0.56265926
21:37:52.950 0.07837809 2.030795 0.51239514
21:38:28.261 0.07837809 2.030795 0.44046238
21:39:02.315 0.07837809 2.030795 0.5265651
21:39:38.996 0.07837809 2.030795 0.51796216
21:40:17.470 0.07837809 2.030795 0.5198326
21:40:51.092 0.07837809 2.030795 0.53264445
21:41:26.901 0.07837809 2.030795 0.5669454
21:42:03.544 0.07837809 2.030795 0.5820911
21:42:38.428 0.07837809 2.030795 0.60412467
21:43:13.183 0.07837809 2.030795 0.57593936
21:43:47.792 0.07837809 2.030795 0.5937649
21:44:25.493 0.07837809 2.030795 0.57214594
21:44:58.902 0.07837809 2.030795 0.6015942
21:45:33.348 0.07837809 2.030795 0.6003884
21:46:04.605 0.07837809 2.030795 0.61107886
21:46:35.779 0.07837809 2.030795 0.6251553
21:47:08.342 0.07837809 2.030795 0.620252
21:47:40.959 0.06875464 2.030795 0.59702426
21:48:11.238 0.06875464 2.030795 0.5986272
21:48:43.038 0.06875464 2.030795 0.58127636
21:49:15.754 0.06875464 2.030795 0.5785381
21:49:47.058 0.06875464 2.030795 0.64667726
21:50:17.258 0.06875464 2.030795 0.5855721
21:50:50.506 0.06875464 2.030795 0.57709384
21:51:21.596 0.06875464 2.030795 0.5360677
21:51:54.959 0.06875464 2.030795 0.5648408
21:52:27.544 0.06875464 2.030795 0.59836084
21:53:00.421 0.06875464 2.030795 0.6272455
21:53:31.116 0.06875464 2.030795 0.61697865
21:54:04.055 0.06875464 2.030795 0.64955485
21:54:36.423 0.06875464 2.030795 0.6319744
21:55:08.251 0.06875464 2.030795 0.6519413
21:55:39.189 0.06875464 2.030795 0.6431655
21:56:13.179 0.06875464 2.030795 0.59743583
21:56:44.925 0.06875464 2.030795 0.6710207
21:57:18.445 0.06875464 2.030795 0.63788956
21:57:48.871 0.06875464 2.030795 0.5845898
21:58:20.087 0.06875464 2.032461 0.6250792
21:58:53.748 0.06875464 2.032461 0.636644
21:59:25.212 0.06875464 2.032461 0.63208544
21:59:57.384 0.06875464 2.032461 0.6528676
22:00:28.689 0.06875464 2.032461 0.6211368
22:01:00.601 0.06875464 2.032461 0.615592
22:01:33.203 0.06875464 2.032461 0.6019726
22:02:06.630 0.06875464 2.032461 0.6264357
22:02:36.405 0.06875464 2.034104 0.6429464
22:03:10.987 0.06875464 2.034104 0.6108292
22:03:42.743 0.06875464 2.034104 0.60656697
22:04:15.721 0.06875464 2.034104 0.6070735
22:04:48.175 0.06875464 2.034104 0.63822246
22:05:19.207 0.06875464 2.034104 0.62211615
22:05:50.030 0.06875464 2.034104 0.6175387
22:06:21.221 0.06875464 2.034104 0.5981924
22:06:53.203 0.06875464 2.034104 0.5921243
22:07:24.765 0.06875464 2.034104 0.5974424
22:07:56.936 0.06875464 2.034104 0.610975
22:08:28.321 0.06875464 2.034104 0.5965268
22:08:59.531 0.06875464 2.034104 0.6360924
22:09:30.205 0.06875464 2.034104 0.59301174
22:10:01.194 0.06875464 2.034104 0.5872871
22:10:32.777 0.06875464 2.034104 0.64118487
22:11:04.442 0.06875464 2.034104 0.59936863
22:11:38.240 0.06875464 2.034104 0.63562566
22:12:09.559 0.06875464 2.034104 0.6042168
22:12:40.220 0.06875464 2.034104 0.639491
22:13:11.804 0.06875464 2.034104 0.59033847
22:13:42.485 0.06875464 2.034104 0.61114657
22:14:14.702 0.06875464 2.034104 0.58168805
22:14:45.005 0.06875464 2.034104 0.62959707
22:15:16.671 0.06875464 2.034104 0.63239384
22:15:47.905 0.06875464 2.034104 0.5928043
22:16:17.789 0.06875464 2.034104 0.59479535
22:16:49.988 0.06875464 2.034104 0.5922829
22:16:53.690 setup problem!
22:17:22.847 0.3628514 1.8911643 1.032343
22:17:46.799 0.3628514 2.0284827 0.98131204
22:18:03.084 0.21991523 2.0288262 0.92804104
