15:42:02.988 setup problem!
15:42:33.248 0.45305604 2.0284522 1.0457593
15:42:57.760 0.30294982 2.028595 0.989237
16:13:17.130 0.30294982 2.028595 0.9295017
16:13:32.486 0.2315282 2.028595 0.8135902
16:13:48.305 0.21652289 2.0286236 0.6902969
16:13:59.053 0.21652289 2.0286236 0.58929116
16:14:12.556 0.21083891 2.0286236 0.5679768
16:14:33.985 0.21083891 2.0286808 0.4956575
16:14:53.387 0.20677844 2.0286808 0.46364647
16:15:12.051 0.20597844 2.0286808 0.46032238
16:15:29.787 0.20597844 2.0286808 0.4471902
16:15:48.453 0.20597844 2.0286808 0.40881094
16:16:05.556 0.20597844 2.0286808 0.39992285
16:16:22.659 0.20597844 2.0286808 0.4393914
16:16:39.064 0.20597844 2.0286808 0.46875575
16:16:56.230 0.20597844 2.0286808 0.47667634
16:17:12.517 0.20597844 2.0286808 0.44953942
16:17:30.863 0.20597844 2.0286808 0.4768582
16:17:48.206 0.20597844 2.0286808 0.47423437
16:18:06.166 0.20597844 2.0286808 0.47130147
16:18:27.034 0.205837 2.0286808 0.4592729
16:18:45.580 0.205837 2.0286808 0.4562919
16:19:03.726 0.205837 2.0286808 0.4581976
16:19:22.609 0.205837 2.0286808 0.47576725
16:19:42.637 0.20494734 2.0286808 0.502426
16:20:00.525 0.20494734 2.0288522 0.50317264
16:20:19.363 0.19782089 2.0290523 0.5016185
16:20:39.235 0.19782089 2.0290523 0.47849864
16:21:03.850 0.19782089 2.0291095 0.5231844
16:21:30.080 0.19782089 2.0292523 0.55134386
16:21:53.532 0.17690466 2.0294807 0.5540933
16:22:13.360 0.17690466 2.0300236 0.50403875
16:22:34.802 0.17690466 2.0300236 0.4985397
16:23:01.514 0.17690466 2.0300236 0.50424516
16:23:33.191 0.16500829 2.0300236 0.4858668
16:24:04.436 0.16495116 2.0302808 0.48270223
16:24:35.326 0.16455115 2.0302808 0.5038275
16:25:06.352 0.16432258 2.0302808 0.5243641
16:25:39.273 0.16426544 2.0302808 0.5167396
16:26:12.163 0.16314882 2.0302808 0.46181977
16:26:45.222 0.16306311 2.0302808 0.44760734
16:27:19.462 0.16292025 2.0302808 0.48838067
16:27:48.630 0.16292025 2.0302808 0.4859635
16:28:19.834 0.16214883 2.0302808 0.50029385
16:28:51.241 0.16214883 2.0302808 0.48426053
16:29:22.051 0.16214883 2.0302808 0.4741846
16:29:51.192 0.16214883 2.0302808 0.49776506
16:30:20.553 0.16214883 2.0302808 0.5262384
16:30:48.757 0.16206843 2.0302808 0.5838359
16:31:19.691 0.16146843 2.0302808 0.5640836
16:31:48.836 0.16146843 2.0302808 0.5973585
16:32:21.259 0.16146843 2.0302808 0.60286516
16:32:50.204 0.16146843 2.0302808 0.58649445
16:33:22.633 0.16146843 2.0302808 0.5895493
16:33:53.384 0.16146843 2.0302808 0.60221416
16:34:27.714 0.16146843 2.0302808 0.5782914
16:34:59.448 0.16146843 2.0302808 0.619422
16:35:32.556 0.16146843 2.0302808 0.61993885
16:36:02.757 0.16146843 2.0302808 0.58467793
16:36:37.540 0.16146843 2.0302808 0.61111724
16:37:07.487 0.16146843 2.0302808 0.6328442
16:37:39.263 0.16146843 2.0302808 0.6593059
16:38:11.279 0.16146843 2.0302808 0.5928342
16:38:43.926 0.16146843 2.0302808 0.62487656
16:39:18.285 0.15232433 2.0302808 0.62473404
16:39:53.047 0.15226719 2.0302808 0.6240003
16:40:22.476 0.15192433 2.0302808 0.6211361
16:40:57.696 0.15115291 2.0302808 0.63399214
16:41:30.128 0.15115291 2.0302808 0.56732833
16:41:59.508 0.15115291 2.0302808 0.58611566
16:42:32.378 0.15115291 2.0302808 0.550813
16:43:01.948 0.15115291 2.0302808 0.56217664
16:43:30.587 0.14977476 2.0302808 0.62400377
16:43:59.475 0.14968905 2.0302808 0.65710413
16:44:28.875 0.14954619 2.0302808 0.62537277
16:44:58.734 0.1488319 2.0302808 0.6242482
16:45:29.300 0.1488319 2.0302808 0.6148411
16:46:00.483 0.1488319 2.0302808 0.583302
16:46:29.637 0.1488319 2.0302808 0.577437
16:46:58.073 0.1488319 2.0302808 0.5982977
16:47:26.647 0.1488319 2.0302808 0.6065182
16:47:55.233 0.1488319 2.0302808 0.6357089
16:48:24.065 0.1488319 2.0302808 0.6229135
16:48:51.213 0.1488319 2.0302808 0.6365924
16:49:18.222 0.1488319 2.0302808 0.6679398
16:49:46.901 0.1488319 2.0302808 0.626085
16:50:11.292 0.1488319 2.0302808 0.6450684
16:50:39.482 0.1488319 2.0302808 0.63777626
16:51:07.845 0.1488319 2.0302808 0.6393839
16:51:35.129 0.1488319 2.0302808 0.61147577
16:52:04.147 0.1488319 2.0302808 0.64675915
16:52:29.936 0.1488319 2.0302808 0.609143
16:52:57.151 0.1488319 2.0302808 0.67539954
16:53:23.624 0.1488319 2.0302808 0.62468183
16:53:50.789 0.1488319 2.0302808 0.62933016
16:54:16.090 0.1488319 2.0302808 0.6472239
16:54:42.216 0.1488319 2.0302808 0.6670659
16:55:10.477 0.1488319 2.0302808 0.63161844
16:55:36.548 0.1488319 2.0302808 0.59824115
16:56:01.910 0.1488319 2.0302808 0.5958305
16:56:05.103 setup problem!
16:56:34.374 0.35213745 2.027795 1.0328577
16:56:54.528 0.32296345 2.0284808 0.98245263
16:57:19.093 0.16757819 2.0288808 0.9217195
16:57:39.493 0.16757819 2.0288808 0.82150614
16:58:00.480 0.16757819 2.0288808 0.69316167
16:58:20.198 0.16757819 2.0288808 0.5703859
16:58:45.778 0.046097 2.0288808 0.5327656
16:59:19.344 0.046097 2.0293093 0.5418685
17:00:00.356 0.046097 2.0293093 0.4956631
17:00:40.363 0.046097 2.0293093 0.49759272
17:01:01.769 0.046097 2.0299094 0.45558396
17:01:24.412 0.046097 2.0299094 0.3982215
17:01:47.042 0.046097 2.0299094 0.41514254
17:02:12.030 0.013642399 2.0299094 0.39871788
17:02:38.142 0.013642399 2.0299094 0.4225825
17:03:04.109 0.013642399 2.0299094 0.39029565
17:03:31.391 0.013642399 2.0299094 0.3833599
17:03:58.257 0.013642399 2.0299094 0.39368704
17:04:29.161 0.013642399 2.0299094 0.3586727
17:04:55.626 0.013642399 2.0299094 0.35406768
17:05:24.368 0.013642399 2.0299094 0.3691487
17:05:53.491 0.013642399 2.0299094 0.3951263
17:06:17.188 0.013642399 2.0299094 0.39869437
17:06:41.110 0.013642399 2.0299094 0.3814881
17:07:04.189 0.013642399 2.0299094 0.38967848
17:07:28.350 0.013642399 2.0299094 0.40209258
17:07:53.468 0.013642399 2.0299094 0.38808817
17:08:17.363 0.013642399 2.0299094 0.41463214
17:08:41.479 0.013642399 2.0299094 0.40418163
17:09:05.326 0.013642399 2.0299094 0.40450126
17:09:28.728 0.013642399 2.0299094 0.3979699
17:09:51.087 0.013642399 2.0299094 0.42202076
17:10:14.479 0.013642399 2.0299094 0.37719914
17:10:38.578 0.013642399 2.0299094 0.40950924
17:11:00.611 0.013642399 2.0299094 0.37744698
17:11:23.994 0.013642399 2.0299094 0.3900458
17:11:46.301 0.013642399 2.0299094 0.37508985
17:12:08.656 0.013642399 2.0299094 0.39885044
17:12:32.122 0.013642399 2.0299094 0.35214928
17:12:52.566 0.013642399 2.0299094 0.3793342
17:13:20.385 0.013642399 2.0299094 0.37511817
17:13:44.632 0.013642399 2.0299094 0.37401175
17:14:08.742 0.013642399 2.0299094 0.3947784
17:14:32.412 0.013642399 2.0299094 0.40673557
17:14:56.328 0.013642399 2.0299094 0.384101
17:15:20.527 0.013642399 2.0299094 0.38714823
17:15:43.179 0.013642399 2.0299094 0.3553032
17:16:07.347 0.013642399 2.0300522 0.38255575
17:16:30.410 0.013642399 2.0300522 0.37635466
17:16:52.595 0.013642399 2.0300522 0.3324236
17:17:17.013 0.013642399 2.0300522 0.35348883
17:17:41.527 0.013642399 2.0300522 0.3676626
17:18:04.574 0.013642399 2.0300522 0.34908906
17:18:27.969 0.013642399 2.0300522 0.37151492
17:18:51.286 0.013642399 2.0300522 0.37259802
17:19:12.905 0.013642399 2.0300522 0.39672938
17:19:36.526 0.013642399 2.0300522 0.36995515
17:20:00.666 0.013642399 2.0300522 0.38938493
17:20:22.959 0.013642399 2.0300522 0.4056811
17:20:45.301 0.013642399 2.0300522 0.3556387
17:21:06.606 0.013642399 2.0300522 0.37240946
17:21:28.995 0.013642399 2.0300522 0.37836352
17:21:52.036 0.013642399 2.0300522 0.36549136
17:22:13.200 0.013642399 2.0300522 0.36046544
17:22:35.078 0.013642399 2.0300522 0.3695425
17:22:58.728 0.013642399 2.0300522 0.35671866
17:23:21.680 0.013642399 2.0300522 0.34787035
17:23:44.014 0.013642399 2.0300522 0.32554337
17:24:04.646 0.013642399 2.0300522 0.33260462
17:24:29.331 0.013642399 2.0300522 0.36854205
17:24:55.524 0.013642399 2.0300522 0.3378024
17:25:21.152 0.013642399 2.0300522 0.33779892
17:25:48.933 0.013642399 2.0300522 0.3462609
17:26:16.550 0.013642399 2.0300522 0.34356326
17:26:43.889 0.013642399 2.0300522 0.3360637
17:27:12.753 0.013642399 2.0300522 0.3510296
17:27:40.396 0.013642399 2.0300522 0.35406306
17:28:07.263 0.013642399 2.0300522 0.32329255
17:28:36.019 0.013642399 2.0300522 0.3528914
17:28:56.444 0.013642399 2.0300522 0.34964678
17:29:18.735 0.013642399 2.0300522 0.36253673
17:29:41.257 0.013642399 2.0300522 0.34906718
17:30:03.362 0.013642399 2.0300522 0.3463229
17:30:26.582 0.013642399 2.0300522 0.35439897
17:30:48.486 0.013642399 2.0300522 0.3397189
17:31:10.797 0.013642399 2.0300522 0.32528827
17:31:31.789 0.013642399 2.0300522 0.35346144
17:31:53.696 0.013642399 2.0300522 0.3263959
17:32:14.234 0.013642399 2.0300522 0.34355405
17:32:38.545 0.013642399 2.0300522 0.32236606
17:33:00.919 0.013642399 2.0300522 0.33291224
17:33:22.915 0.013642399 2.0300522 0.35244378
17:33:44.915 0.013642399 2.0300522 0.33413845
17:34:06.639 0.013642399 2.0300522 0.3259418
17:34:27.250 0.013642399 2.0300522 0.32425538
17:34:51.826 0.013642399 2.0300522 0.33360833
17:35:15.772 0.013642399 2.0300522 0.32645822
17:35:38.525 0.013642399 2.0300522 0.33854392
17:36:00.707 0.013642399 2.0300522 0.3426524
17:36:23.175 0.013642399 2.0300522 0.34219655
17:36:25.436 setup problem!
17:36:47.335 0.3628514 2.0285666 1.0474985
17:37:05.974 0.3571674 2.0285666 0.9809561
17:37:34.361 0.24388987 2.0292237 0.92213184
17:37:55.082 0.220995 2.0292237 0.85312295
17:38:13.583 0.21881688 2.0292237 0.74741185
17:38:29.629 0.21583717 2.0292237 0.6500786
17:38:47.193 0.21061967 2.0292237 0.57494867
17:39:07.017 0.21027681 2.0292237 0.53969777
17:39:36.643 0.20950538 2.0292237 0.54318225
17:40:01.874 0.20950538 2.0292237 0.49724305
17:40:27.590 0.20902127 2.0292237 0.4883285
17:40:51.064 0.20842128 2.0292237 0.47117555
17:41:13.243 0.20842128 2.0292237 0.5008475
17:41:35.502 0.20842128 2.0292237 0.51172876
17:41:57.795 0.20842128 2.0292237 0.4856552
17:42:21.488 0.20842128 2.0292237 0.5092868
17:42:43.183 0.2082957 2.0292237 0.48557457
17:43:07.187 0.2082957 2.0292237 0.47449085
17:43:27.328 0.20088875 2.0292237 0.4751567
17:44:01.426 0.20088875 2.0292237 0.45078945
17:44:21.541 0.20088875 2.0292237 0.4549078
17:44:46.208 0.20088875 2.0292237 0.4430193
17:45:10.346 0.20088875 2.0292237 0.44904378
17:45:32.598 0.20088875 2.0292237 0.45813212
17:45:51.549 0.20088875 2.0292237 0.44096792
17:46:09.012 0.20088875 2.0292237 0.45414683
17:46:34.289 0.20088875 2.0292237 0.42999566
17:46:54.780 0.20088875 2.0292237 0.4192455
17:47:12.370 0.20088875 2.0292237 0.42084256
17:47:34.076 0.20088875 2.0292237 0.39898166
17:47:53.997 0.20088875 2.0292237 0.4155415
17:48:13.289 0.20088875 2.0292237 0.39892545
17:48:32.196 0.20088875 2.0292237 0.41989076
17:48:52.894 0.20088875 2.0292237 0.4069863
17:49:13.707 0.20088875 2.0292237 0.40363938
17:49:33.457 0.20088875 2.0292237 0.40659326
17:49:54.391 0.20088875 2.0292237 0.41924253
17:50:13.974 0.20088875 2.0292237 0.40178016
17:50:33.145 0.20088875 2.0292237 0.38804993
17:50:52.836 0.20088875 2.0292237 0.41117677
17:51:10.830 0.20088875 2.0292237 0.40765405
17:51:31.996 0.20088875 2.0292237 0.39884174
17:51:51.098 0.20088875 2.0292237 0.39862826
17:52:10.378 0.20088875 2.0292237 0.39132434
17:52:32.127 0.20088875 2.0292237 0.39169624
17:52:52.165 0.20088875 2.0292237 0.38125712
17:53:12.182 0.20088875 2.0292237 0.38359696
17:53:32.937 0.20088875 2.0292237 0.39727482
17:53:50.896 0.20088875 2.0292237 0.3956829
17:54:12.207 0.20088875 2.0292237 0.3846621
17:54:34.516 0.20088875 2.0292237 0.40970656
17:54:54.655 0.20088875 2.0292237 0.39051753
17:55:15.737 0.20088875 2.0292237 0.39943758
17:55:36.701 0.20088875 2.0292237 0.4091569
17:55:57.017 0.20088875 2.0292237 0.39652297
17:56:17.605 0.20088875 2.0292237 0.40263435
17:56:36.927 0.20088875 2.0292237 0.38994122
17:56:59.411 0.20088875 2.0292237 0.39946315
17:57:18.962 0.20088875 2.0292237 0.38494632
17:57:43.213 0.20088875 2.0292237 0.4141412
17:58:02.996 0.20088875 2.0292237 0.37730554
17:58:28.215 0.20088875 2.0292237 0.40220404
17:58:47.459 0.20088875 2.0292237 0.39362466
17:58:55.523 setup problem!
