15:28:42.043 setup problem!
15:30:07.712 0.33024278 1.0 0.9394748
15:31:13.123 0.22772464 1.0 0.81946504
15:32:23.490 0.22772464 1.0 0.67870134
15:33:31.373 0.19105077 1.0 0.5777707
15:34:40.580 0.19105077 1.0 0.5345144
15:35:59.654 0.19061077 1.0 0.4647623
15:37:22.327 0.19061077 1.0 0.43915573
15:38:53.980 0.18793826 1.0 0.42948857
15:40:38.896 0.18697546 1.0 0.43163598
15:42:29.384 0.18655547 1.0 0.3813897
15:44:38.092 0.18655547 1.0 0.39794952
15:47:47.785 0.18655547 1.0 0.39889458
15:50:49.501 0.18655547 1.0 0.41269705
15:53:50.579 0.18655547 1.0 0.42411798
15:57:11.768 0.18655547 1.0 0.42170352
16:00:24.799 0.18655547 1.0 0.4239025
16:02:50.641 0.18655547 1.0 0.40870553
16:05:57.337 0.18655547 1.0 0.40874168
16:08:35.299 0.18655547 1.0 0.40814832
16:11:15.217 0.18655547 1.0 0.40728354
16:14:21.387 0.18655547 1.0 0.39690685
16:17:07.327 0.18655547 1.0 0.40568176
16:22:58.253 0.18655547 1.0 0.3927506
16:25:57.712 0.18655547 1.0 0.3891655
16:29:28.060 0.18655547 1.0 0.38201493
16:31:32.117 0.18655547 1.0 0.40063113
16:34:57.559 0.18655547 1.0 0.39088282
16:38:20.077 0.18655547 1.0 0.38435063
16:41:29.231 0.18655547 1.0 0.40078378
16:52:35.066 0.18655547 1.0 0.39489663
16:57:22.773 0.18655547 1.0 0.3850276
17:00:16.370 0.18655547 1.0 0.3758769
17:03:11.111 0.18655547 1.0 0.4040085
17:06:38.019 0.18655547 1.0 0.37748694
17:09:28.913 0.18655547 1.0 0.40014267
17:13:02.944 0.18655547 1.0 0.38352674
17:16:43.901 0.18655547 1.0 0.37433946
17:19:04.014 0.18655547 1.0 0.36679387
17:22:24.852 0.18655547 1.0 0.39365268
17:26:23.184 0.18655547 1.0 0.41164362
17:29:42.034 0.18655547 1.0 0.3946424
17:31:55.156 0.18655547 1.0 0.39039555
17:36:24.458 0.18655547 1.0 0.3869615
17:39:14.349 0.18655547 1.0 0.39713654
17:42:51.570 0.18655547 1.0 0.38381624
17:45:16.227 0.18655547 1.0 0.3942136
17:48:41.764 0.18655547 1.0 0.38093004
17:54:22.784 0.18655547 1.0 0.40136638
17:57:31.944 0.18655547 1.0 0.39502072
18:00:23.211 0.18655547 1.0 0.38389963
18:01:53.990 setup problem!
18:03:40.503 0.31573474 1.0 0.95351404
18:04:46.171 0.2468767 1.0 0.8471106
18:05:41.807 0.21293871 1.0 0.7191616
18:06:38.567 0.20293099 1.0 0.6178308
18:08:08.568 0.20293099 1.0 0.54669684
18:09:12.396 0.20293099 1.0 0.50555056
18:10:10.117 0.20293099 1.0 0.47881043
18:11:15.398 0.20293099 1.0 0.43593544
18:12:17.905 0.20293099 1.0 0.4035203
18:13:15.578 0.20293099 1.0 0.38446623
18:14:03.229 0.20293099 1.0 0.37181023
18:14:52.856 0.20293099 1.0 0.41178533
18:15:36.635 0.20293099 1.0 0.42548686
18:16:24.795 0.20293099 1.0 0.40626085
18:17:12.785 0.20293099 1.0 0.38215852
18:18:02.496 0.20293099 1.0 0.39365652
18:18:47.621 0.20293099 1.0 0.39754727
18:19:33.446 0.20293099 1.0 0.38216057
18:20:21.975 0.20293099 1.0 0.38607892
18:21:11.219 0.20293099 1.0 0.3869889
18:22:01.249 0.20293099 1.0 0.37119526
18:22:51.096 0.20293099 1.0 0.3669907
18:23:37.673 0.20293099 1.0 0.37928504
18:24:25.992 0.20293099 1.0 0.3886385
18:25:11.083 0.20293099 1.0 0.38186327
18:25:52.548 0.20293099 1.0 0.3801036
18:26:37.557 0.20293099 1.0 0.37704456
18:27:24.013 0.20293099 1.0 0.3713217
18:28:17.000 0.20293099 1.0 0.3550429
18:29:03.404 0.20293099 1.0 0.32495123
18:29:49.964 0.20293099 1.0 0.3431919
18:30:36.587 0.20293099 1.0 0.37295455
18:31:26.550 0.20293099 1.0 0.348524
18:32:14.993 0.20293099 1.0 0.36925408
18:32:58.381 0.20293099 1.0 0.37816274
18:33:38.770 0.20293099 1.0 0.36151063
18:34:19.830 0.20293099 1.0 0.36195093
18:35:02.267 0.20293099 1.0 0.36521643
18:35:44.513 0.20293099 1.0 0.352218
18:36:25.687 0.20293099 1.0 0.3676938
18:37:09.162 0.20293099 1.0 0.36192182
18:37:49.758 0.20293099 1.0 0.36156368
18:38:30.488 0.20293099 1.0 0.38234806
18:39:11.821 0.20293099 1.0 0.36334327
18:39:53.058 0.20293099 1.0 0.3785954
18:40:33.311 0.20293099 1.0 0.37753
18:41:12.837 0.20293099 1.0 0.37561673
18:41:53.449 0.20293099 1.0 0.3737676
18:42:35.647 0.20293099 1.0 0.3846979
18:43:16.647 0.20293099 1.0 0.36413825
